regime,method,n,mean_audit_score,std_audit_score
balanced,expert_reference_upper_bound,9600,84.1248,7.6411
balanced,image_to_3d_reconstruction,9600,20.3288,9.8326
balanced,metadata_guided_hybrid,9600,57.6354,9.5921
balanced,panel_metadata_hybrid,9600,59.3664,9.1571
balanced,pattern_driven_generation,9600,34.1173,10.2004
balanced,retrieval_reference_guided,9600,62.3227,8.1398
balanced,text_to_3d_generic,9600,16.6803,9.7426
balanced,texture_motif_transfer,9600,30.77,10.7807
construction_strict,expert_reference_upper_bound,9600,83.7291,8.2425
construction_strict,image_to_3d_reconstruction,9600,20.8602,10.0652
construction_strict,metadata_guided_hybrid,9600,57.1387,10.1501
construction_strict,panel_metadata_hybrid,9600,60.957,9.3422
construction_strict,pattern_driven_generation,9600,39.8173,11.0214
construction_strict,retrieval_reference_guided,9600,60.1112,8.6854
construction_strict,text_to_3d_generic,9600,16.8597,10.0168
construction_strict,texture_motif_transfer,9600,28.991,11.0141
heritage_strict,expert_reference_upper_bound,9600,83.5164,8.1357
heritage_strict,image_to_3d_reconstruction,9600,17.9046,9.3741
heritage_strict,metadata_guided_hybrid,9600,56.8854,10.0684
heritage_strict,panel_metadata_hybrid,9600,56.9786,9.7141
heritage_strict,pattern_driven_generation,9600,29.0739,9.9789
heritage_strict,retrieval_reference_guided,9600,62.365,8.6581
heritage_strict,text_to_3d_generic,9600,14.5845,9.2576
heritage_strict,texture_motif_transfer,9600,28.799,10.7891
motif_strict,expert_reference_upper_bound,9600,82.7154,8.485
motif_strict,image_to_3d_reconstruction,9600,18.2485,10.1301
motif_strict,metadata_guided_hybrid,9600,56.5647,10.418
motif_strict,panel_metadata_hybrid,9600,56.1145,10.2484
motif_strict,pattern_driven_generation,9600,27.1746,9.929
motif_strict,retrieval_reference_guided,9600,62.9654,8.7715
motif_strict,text_to_3d_generic,9600,14.8493,9.7144
motif_strict,texture_motif_transfer,9600,32.9855,11.7022
visual_lenient,expert_reference_upper_bound,9600,83.6909,7.9334
visual_lenient,image_to_3d_reconstruction,9600,21.433,10.7842
visual_lenient,metadata_guided_hybrid,9600,57.3693,9.8679
visual_lenient,panel_metadata_hybrid,9600,57.6027,9.5608
visual_lenient,pattern_driven_generation,9600,29.5661,10.2347
visual_lenient,retrieval_reference_guided,9600,63.892,8.3072
visual_lenient,text_to_3d_generic,9600,18.1976,10.5958
visual_lenient,texture_motif_transfer,9600,33.2773,11.3692
