variant,method,mean_score,score_change_from_full,mean_hard_flags,rank,rank_change
full,text_to_3d_generic,16.062,0.0,5.8712,8,0
full,image_to_3d_reconstruction,19.6131,0.0,5.6178,7,0
full,pattern_driven_generation,31.9715,0.0,4.7258,5,0
full,texture_motif_transfer,30.796,0.0,4.9107,6,0
full,metadata_guided_hybrid,57.0852,0.0,3.0308,4,0
full,panel_metadata_hybrid,58.0217,0.0,2.9593,3,0
full,retrieval_reference_guided,62.4141,0.0,2.6782,2,0
full,expert_reference_upper_bound,83.5615,0.0,1.1615,1,0
no_profile_difficulty,text_to_3d_generic,33.854,17.792,4.6017,8,0
no_profile_difficulty,image_to_3d_reconstruction,39.5847,19.9716,4.2263,7,0
no_profile_difficulty,pattern_driven_generation,51.7727,19.8011,3.3772,5,0
no_profile_difficulty,texture_motif_transfer,51.2886,20.4925,3.481,6,0
no_profile_difficulty,metadata_guided_hybrid,70.238,13.1528,2.1197,4,0
no_profile_difficulty,panel_metadata_hybrid,72.4744,14.4528,1.9508,3,0
no_profile_difficulty,retrieval_reference_guided,74.2164,11.8023,1.8428,2,0
no_profile_difficulty,expert_reference_upper_bound,93.5072,9.9457,0.448,1,0
single_regime,text_to_3d_generic,16.7534,0.6914,5.9025,8,0
single_regime,image_to_3d_reconstruction,20.4435,0.8304,5.6663,7,0
single_regime,pattern_driven_generation,34.2773,2.3058,4.8298,5,0
single_regime,texture_motif_transfer,30.9267,0.1306,4.9685,6,0
single_regime,metadata_guided_hybrid,57.8376,0.7524,3.207,4,0
single_regime,panel_metadata_hybrid,59.2976,1.276,3.142,3,0
single_regime,retrieval_reference_guided,62.4676,0.0535,2.8623,2,0
single_regime,expert_reference_upper_bound,83.9811,0.4196,1.2715,1,0
no_failure_events,text_to_3d_generic,19.5239,3.4619,5.6075,8,0
no_failure_events,image_to_3d_reconstruction,22.5474,2.9343,5.4033,7,0
no_failure_events,pattern_driven_generation,34.9919,3.0204,4.5012,5,0
no_failure_events,texture_motif_transfer,34.264,3.4679,4.6287,6,0
no_failure_events,metadata_guided_hybrid,60.7583,3.673,2.6755,4,0
no_failure_events,panel_metadata_hybrid,61.4042,3.3825,2.6398,3,0
no_failure_events,retrieval_reference_guided,65.1613,2.7472,2.3745,2,0
no_failure_events,expert_reference_upper_bound,85.7221,2.1606,0.9425,1,0
no_interactions,text_to_3d_generic,35.1686,19.1066,4.5162,8,0
no_interactions,image_to_3d_reconstruction,41.2279,21.6148,4.1205,7,0
no_interactions,pattern_driven_generation,52.2403,20.2688,3.3517,5,0
no_interactions,texture_motif_transfer,51.4713,20.6753,3.469,6,0
no_interactions,metadata_guided_hybrid,70.4361,13.3508,2.1085,4,0
no_interactions,panel_metadata_hybrid,72.677,14.6553,1.939,3,0
no_interactions,retrieval_reference_guided,74.3378,11.9237,1.8358,2,0
no_interactions,expert_reference_upper_bound,93.5849,10.0234,0.4442,1,0
