seed,method,mean_score,mean_hard_flags,rank
20260711,text_to_3d_generic,16.0568,5.8727,8
20260711,image_to_3d_reconstruction,19.5989,5.62,7
20260711,pattern_driven_generation,31.96,4.7103,5
20260711,texture_motif_transfer,30.9708,4.9067,6
20260711,metadata_guided_hybrid,57.0515,3.0053,4
20260711,panel_metadata_hybrid,58.0615,2.9238,3
20260711,retrieval_reference_guided,62.4058,2.6517,2
20260711,expert_reference_upper_bound,83.5038,1.1355,1
20260808,text_to_3d_generic,16.0362,5.909,8
20260808,image_to_3d_reconstruction,19.9378,5.692,7
20260808,pattern_driven_generation,31.7941,4.8605,5
20260808,texture_motif_transfer,30.881,5.0018,6
20260808,metadata_guided_hybrid,57.2217,3.1997,4
20260808,panel_metadata_hybrid,58.032,3.1063,3
20260808,retrieval_reference_guided,62.323,2.8445,2
20260808,expert_reference_upper_bound,83.2712,1.268,1
20260905,text_to_3d_generic,16.5217,5.8725,8
20260905,image_to_3d_reconstruction,19.6462,5.696,7
20260905,pattern_driven_generation,32.2339,4.8048,5
20260905,texture_motif_transfer,31.1077,4.9925,6
20260905,metadata_guided_hybrid,57.3642,3.132,4
20260905,panel_metadata_hybrid,58.3385,3.0562,3
20260905,retrieval_reference_guided,62.1047,2.787,2
20260905,expert_reference_upper_bound,83.283,1.2203,1
20261002,text_to_3d_generic,16.0022,5.8105,8
20261002,image_to_3d_reconstruction,19.6599,5.5808,7
20261002,pattern_driven_generation,32.1333,4.6707,5
20261002,texture_motif_transfer,31.1793,4.811,6
20261002,metadata_guided_hybrid,57.1717,2.952,4
20261002,panel_metadata_hybrid,58.0899,2.8758,3
20261002,retrieval_reference_guided,62.3045,2.6305,2
20261002,expert_reference_upper_bound,83.7045,1.1218,1
20261099,text_to_3d_generic,16.032,5.8765,8
20261099,image_to_3d_reconstruction,19.3314,5.6857,7
20261099,pattern_driven_generation,31.9414,4.829,5
20261099,texture_motif_transfer,30.8618,4.9737,6
20261099,metadata_guided_hybrid,57.4343,3.1652,4
20261099,panel_metadata_hybrid,58.0731,3.1273,3
20261099,retrieval_reference_guided,62.1931,2.8422,2
20261099,expert_reference_upper_bound,83.4973,1.253,1
20261196,text_to_3d_generic,16.2061,5.831,8
20261196,image_to_3d_reconstruction,19.4626,5.6262,7
20261196,pattern_driven_generation,32.0093,4.7175,5
20261196,texture_motif_transfer,30.9213,4.9005,6
20261196,metadata_guided_hybrid,57.371,2.9848,4
20261196,panel_metadata_hybrid,58.1717,2.9015,3
20261196,retrieval_reference_guided,62.1704,2.6313,2
20261196,expert_reference_upper_bound,83.6064,1.1085,1
20261293,text_to_3d_generic,16.2645,5.765,8
20261293,image_to_3d_reconstruction,19.5943,5.5553,7
20261293,pattern_driven_generation,32.0311,4.654,5
20261293,texture_motif_transfer,31.1037,4.802,6
20261293,metadata_guided_hybrid,56.9349,2.9155,4
20261293,panel_metadata_hybrid,58.3286,2.803,3
20261293,retrieval_reference_guided,62.3631,2.5293,2
20261293,expert_reference_upper_bound,83.2612,1.0935,1
20261390,text_to_3d_generic,16.1256,5.8468,8
20261390,image_to_3d_reconstruction,19.9018,5.5832,7
20261390,pattern_driven_generation,32.2145,4.7008,5
20261390,texture_motif_transfer,31.0085,4.8528,6
20261390,metadata_guided_hybrid,57.2306,2.9865,4
20261390,panel_metadata_hybrid,58.1659,2.919,3
20261390,retrieval_reference_guided,62.2684,2.635,2
20261390,expert_reference_upper_bound,83.7414,1.1598,1
20261487,text_to_3d_generic,16.1562,5.8327,8
20261487,image_to_3d_reconstruction,19.4705,5.5925,7
20261487,pattern_driven_generation,31.9176,4.7222,5
20261487,texture_motif_transfer,31.2107,4.829,6
20261487,metadata_guided_hybrid,56.8495,3.0488,4
20261487,panel_metadata_hybrid,58.1243,2.9548,3
20261487,retrieval_reference_guided,62.2408,2.7193,2
20261487,expert_reference_upper_bound,83.5571,1.2217,1
20261584,text_to_3d_generic,16.3928,5.8293,8
20261584,image_to_3d_reconstruction,19.8358,5.6125,7
20261584,pattern_driven_generation,32.3431,4.697,5
20261584,texture_motif_transfer,30.9389,4.8548,6
20261584,metadata_guided_hybrid,56.9853,2.9882,4
20261584,panel_metadata_hybrid,58.2569,2.9115,3
20261584,retrieval_reference_guided,62.6253,2.608,2
20261584,expert_reference_upper_bound,83.661,1.1227,1
