asset_id,category,source_relpath,sha256,license,source_record,split,vertices,faces,units,software,generation_command,claim_status
ZG001,pants_straight_sides,pants_straight_sides/pants_straight_sides_02LK7BEVSJ/pants_straight_sides_02LK7BEVSJ_sim.obj,75b27da3ee82058c8c32e4a3264daf4587882d683d8bc4bd169005ea63645c96,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,9670,19182,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG002,pants_straight_sides,pants_straight_sides/pants_straight_sides_02UKVRO08W/pants_straight_sides_02UKVRO08W_sim.obj,7624d41e6074a183ab255817821c310a404fb934d470ae7ac2a2a98cb6cb4fda,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,7461,14796,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG003,pants_straight_sides,pants_straight_sides/pants_straight_sides_045WSSJ15W/pants_straight_sides_045WSSJ15W_sim.obj,5066c5983eb6921bffda9fddd5e8f49be4e30b0ab4c4cdb717b77c66fb5ed35c,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,8907,17644,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG004,pants_straight_sides,pants_straight_sides/pants_straight_sides_04B8EQNPWM/pants_straight_sides_04B8EQNPWM_sim.obj,4fe36a6fad487cddc6f52619cdfdeb95fdbda13b975204c7895204f164535347,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,4717,9292,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG005,pants_straight_sides,pants_straight_sides/pants_straight_sides_07KDJIW25J/pants_straight_sides_07KDJIW25J_sim.obj,39a8568dac23d347b2deba5fe5590c8947c0b7109e1451b858b896d0d5ac291e,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,3734,7310,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG006,pants_straight_sides,pants_straight_sides/pants_straight_sides_0A0YA5V0JM/pants_straight_sides_0A0YA5V0JM_sim.obj,9c132820390fbbbfb2ceaaf8aa3dea6f3ab25c9ad5f86581d1db77101c3d8116,CC-BY-4.0,https://zenodo.org/records/5267549,calibration,10367,20560,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG007,pants_straight_sides,pants_straight_sides/pants_straight_sides_0BKEIFTY5O/pants_straight_sides_0BKEIFTY5O_sim.obj,15498721df31591c6b75bef8903d60080400a81322a9a4d0566856579e31639b,CC-BY-4.0,https://zenodo.org/records/5267549,test,7280,14430,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG008,pants_straight_sides,pants_straight_sides/pants_straight_sides_0C35CI89LF/pants_straight_sides_0C35CI89LF_sim.obj,823bb1d06abbc6367abd5a326619f0f3322acbbd793da8ba561b7e49758cacf9,CC-BY-4.0,https://zenodo.org/records/5267549,test,8855,17564,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG009,pants_straight_sides,pants_straight_sides/pants_straight_sides_0D9GJAC8KC/pants_straight_sides_0D9GJAC8KC_sim.obj,bae4f10f9b0ebf4d720e55393f1009d4bc0d32b885f58cfe46d8568140f306fa,CC-BY-4.0,https://zenodo.org/records/5267549,test,5618,11090,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
ZG010,pants_straight_sides,pants_straight_sides/pants_straight_sides_0DG84T2ZOB/pants_straight_sides_0DG84T2ZOB_sim.obj,d533f52f86f15248b3bd4a9729ee76c077bec37524b9b833df2a0138701fef98,CC-BY-4.0,https://zenodo.org/records/5267549,test,5270,10434,dataset_native,Python controlled-intervention script,python scripts/run_asset_level_benchmark.py,technical
