true,predicted,correct,target_cue,max_offtarget
component,topology,0,0.09057519057519058,0.17845690951950455
component,topology,0,0.17685377685377685,0.3497615194727258
component,topology,0,0.2902979902979903,0.575452980855772
component,topology,0,0.434026334026334,0.8608145980399677
silhouette,silhouette,1,0.11999999999999991,0.0
silhouette,silhouette,1,0.23999999999999982,0.0
silhouette,silhouette,1,0.39999999999999997,0.0
silhouette,silhouette,1,0.6000000000000002,0.0
topology,topology,1,0.16325508659348653,0.1428967428967429
topology,topology,1,0.4383492238957211,0.3333333333333333
topology,topology,1,0.7516236009396159,0.5
topology,topology,1,0.7516236009396159,0.5
material,material,1,0.15,0.0
material,material,1,0.3,0.0
material,material,1,0.5,0.0
material,material,1,0.75,0.0
motif,motif,1,0.15,0.0
motif,motif,1,0.3,0.0
motif,motif,1,0.5,0.0
motif,motif,1,0.75,0.0
metadata,metadata,1,0.15,0.0
metadata,metadata,1,0.3,0.0
metadata,metadata,1,0.5,0.0
metadata,metadata,1,0.75,0.0
component,topology,0,0.09018446823047142,0.17780748109951
component,topology,0,0.17729446595308584,0.3504587354458943
component,topology,0,0.2918469596902756,0.5780316682444011
component,topology,0,0.4319631063539057,0.8575119330003855
silhouette,silhouette,1,0.12000000000000004,0.0
silhouette,silhouette,1,0.23999999999999974,0.0
silhouette,silhouette,1,0.39999999999999986,0.0
silhouette,silhouette,1,0.5999999999999996,0.0
topology,topology,1,0.16130109916178073,0.1429059439763152
topology,topology,1,0.4391055288059965,0.3333523115463448
topology,topology,1,0.7540499621498864,0.5
topology,topology,1,0.7540499621498864,0.5
material,material,1,0.15,0.0
material,material,1,0.3,0.0
material,material,1,0.5,0.0
material,material,1,0.75,0.0
motif,motif,1,0.15,0.0
motif,motif,1,0.3,0.0
motif,motif,1,0.5,0.0
motif,motif,1,0.75,0.0
metadata,metadata,1,0.15,0.0
metadata,metadata,1,0.3,0.0
metadata,metadata,1,0.5,0.0
metadata,metadata,1,0.75,0.0
component,topology,0,0.09170423805229937,0.1803391054890101
component,topology,0,0.18223624887285844,0.35866811194066617
component,topology,0,0.2939585211902615,0.581647790446351
component,topology,0,0.43165013525698825,0.8570496205643077
silhouette,silhouette,1,0.12000000000000033,0.0
silhouette,silhouette,1,0.24000000000000016,0.0
silhouette,silhouette,1,0.4000000000000002,0.0
silhouette,silhouette,1,0.6000000000000003,0.0
topology,topology,1,0.16123503469807068,0.14292155094679893
topology,topology,1,0.43941402183809297,0.3333633904418395
topology,topology,1,0.7578251241845713,0.5
topology,topology,1,0.7578251241845713,0.5
material,material,1,0.15,0.0
material,material,1,0.3,0.0
material,material,1,0.5,0.0
material,material,1,0.75,0.0
motif,motif,1,0.15,0.0
motif,motif,1,0.3,0.0
motif,motif,1,0.5,0.0
motif,motif,1,0.75,0.0
metadata,metadata,1,0.15,0.0
metadata,metadata,1,0.3,0.0
metadata,metadata,1,0.5,0.0
metadata,metadata,1,0.75,0.0
component,topology,0,0.092486103124401,0.18162968796999157
component,topology,0,0.17807168870998658,0.35177433118053736
