asset_id,variant,criterion,vlm_score,author_score
BL_AODAI_001,direct,garment_components,1,2
BL_AODAI_001,direct,silhouette_and_proportion,2,2
BL_AODAI_001,direct,sewing_pattern_plausibility,NA,1
BL_AODAI_001,direct,material_and_drape,1,1
BL_AODAI_001,direct,motif_and_texture,NA,1
BL_AODAI_001,direct,regional_period_consistency,NA,NA
BL_AODAI_001,direct,wearing_context,NA,NA
BL_AODAI_001,evidence_first,garment_components,1,2
BL_AODAI_001,evidence_first,silhouette_and_proportion,2,2
BL_AODAI_001,evidence_first,sewing_pattern_plausibility,NA,1
BL_AODAI_001,evidence_first,material_and_drape,1,1
BL_AODAI_001,evidence_first,motif_and_texture,NA,1
BL_AODAI_001,evidence_first,regional_period_consistency,NA,NA
BL_AODAI_001,evidence_first,wearing_context,NA,NA
BL_AODAI_001,counterclaim,garment_components,1,2
BL_AODAI_001,counterclaim,silhouette_and_proportion,2,2
BL_AODAI_001,counterclaim,sewing_pattern_plausibility,1,1
BL_AODAI_001,counterclaim,material_and_drape,1,1
BL_AODAI_001,counterclaim,motif_and_texture,1,1
BL_AODAI_001,counterclaim,regional_period_consistency,NA,NA
BL_AODAI_001,counterclaim,wearing_context,NA,NA
BL_AODAI_002,direct,garment_components,1,2
BL_AODAI_002,direct,silhouette_and_proportion,2,2
BL_AODAI_002,direct,sewing_pattern_plausibility,NA,1
BL_AODAI_002,direct,material_and_drape,1,1
BL_AODAI_002,direct,motif_and_texture,NA,1
BL_AODAI_002,direct,regional_period_consistency,NA,NA
BL_AODAI_002,direct,wearing_context,NA,NA
BL_AODAI_002,evidence_first,garment_components,1,2
BL_AODAI_002,evidence_first,silhouette_and_proportion,2,2
BL_AODAI_002,evidence_first,sewing_pattern_plausibility,NA,1
BL_AODAI_002,evidence_first,material_and_drape,1,1
BL_AODAI_002,evidence_first,motif_and_texture,NA,1
BL_AODAI_002,evidence_first,regional_period_consistency,NA,NA
BL_AODAI_002,evidence_first,wearing_context,NA,NA
BL_AODAI_002,counterclaim,garment_components,1,2
BL_AODAI_002,counterclaim,silhouette_and_proportion,2,2
BL_AODAI_002,counterclaim,sewing_pattern_plausibility,1,1
BL_AODAI_002,counterclaim,material_and_drape,2,1
BL_AODAI_002,counterclaim,motif_and_texture,1,1
BL_AODAI_002,counterclaim,regional_period_consistency,NA,NA
BL_AODAI_002,counterclaim,wearing_context,NA,NA
BL_AODAI_003,direct,garment_components,1,2
BL_AODAI_003,direct,silhouette_and_proportion,2,1
BL_AODAI_003,direct,sewing_pattern_plausibility,1,1
BL_AODAI_003,direct,material_and_drape,1,1
BL_AODAI_003,direct,motif_and_texture,1,1
BL_AODAI_003,direct,regional_period_consistency,NA,NA
BL_AODAI_003,direct,wearing_context,NA,NA
BL_AODAI_003,evidence_first,garment_components,1,2
BL_AODAI_003,evidence_first,silhouette_and_proportion,2,1
BL_AODAI_003,evidence_first,sewing_pattern_plausibility,NA,1
BL_AODAI_003,evidence_first,material_and_drape,NA,1
BL_AODAI_003,evidence_first,motif_and_texture,NA,1
BL_AODAI_003,evidence_first,regional_period_consistency,NA,NA
BL_AODAI_003,evidence_first,wearing_context,NA,NA
BL_AODAI_003,counterclaim,garment_components,1,2
BL_AODAI_003,counterclaim,silhouette_and_proportion,2,1
BL_AODAI_003,counterclaim,sewing_pattern_plausibility,1,1
BL_AODAI_003,counterclaim,material_and_drape,1,1
BL_AODAI_003,counterclaim,motif_and_texture,1,1
BL_AODAI_003,counterclaim,regional_period_consistency,NA,NA
BL_AODAI_003,counterclaim,wearing_context,NA,NA
BL_AODAI_004,direct,garment_components,1,1
BL_AODAI_004,direct,silhouette_and_proportion,2,2
BL_AODAI_004,direct,sewing_pattern_plausibility,1,1
BL_AODAI_004,direct,material_and_drape,2,1
BL_AODAI_004,direct,motif_and_texture,1,1
BL_AODAI_004,direct,regional_period_consistency,NA,NA
BL_AODAI_004,direct,wearing_context,NA,NA
BL_AODAI_004,evidence_first,garment_components,1,1
BL_AODAI_004,evidence_first,silhouette_and_proportion,2,2
BL_AODAI_004,evidence_first,sewing_pattern_plausibility,NA,1
BL_AODAI_004,evidence_first,material_and_drape,1,1
BL_AODAI_004,evidence_first,motif_and_texture,NA,1
BL_AODAI_004,evidence_first,regional_period_consistency,NA,NA
BL_AODAI_004,evidence_first,wearing_context,NA,NA
BL_AODAI_004,counterclaim,garment_components,1,1
BL_AODAI_004,counterclaim,silhouette_and_proportion,2,2
BL_AODAI_004,counterclaim,sewing_pattern_plausibility,NA,1
BL_AODAI_004,counterclaim,material_and_drape,1,1
BL_AODAI_004,counterclaim,motif_and_texture,NA,1
BL_AODAI_004,counterclaim,regional_period_consistency,NA,NA
BL_AODAI_004,counterclaim,wearing_context,NA,NA
BL_AODAI_005,direct,garment_components,1,2
BL_AODAI_005,direct,silhouette_and_proportion,2,1
BL_AODAI_005,direct,sewing_pattern_plausibility,1,1
BL_AODAI_005,direct,material_and_drape,2,1
BL_AODAI_005,direct,motif_and_texture,1,1
BL_AODAI_005,direct,regional_period_consistency,NA,NA
BL_AODAI_005,direct,wearing_context,NA,NA
BL_AODAI_005,evidence_first,garment_components,1,2
BL_AODAI_005,evidence_first,silhouette_and_proportion,2,1
BL_AODAI_005,evidence_first,sewing_pattern_plausibility,1,1
BL_AODAI_005,evidence_first,material_and_drape,1,1
BL_AODAI_005,evidence_first,motif_and_texture,1,1
BL_AODAI_005,evidence_first,regional_period_consistency,NA,NA
BL_AODAI_005,evidence_first,wearing_context,NA,NA
BL_AODAI_005,counterclaim,garment_components,1,2
BL_AODAI_005,counterclaim,silhouette_and_proportion,2,1
BL_AODAI_005,counterclaim,sewing_pattern_plausibility,NA,1
BL_AODAI_005,counterclaim,material_and_drape,1,1
BL_AODAI_005,counterclaim,motif_and_texture,1,1
BL_AODAI_005,counterclaim,regional_period_consistency,NA,NA
BL_AODAI_005,counterclaim,wearing_context,NA,NA
TSR_AODAI_001,direct,garment_components,1,1
TSR_AODAI_001,direct,silhouette_and_proportion,2,2
TSR_AODAI_001,direct,sewing_pattern_plausibility,NA,0
TSR_AODAI_001,direct,material_and_drape,2,1
TSR_AODAI_001,direct,motif_and_texture,1,1
TSR_AODAI_001,direct,regional_period_consistency,NA,NA
TSR_AODAI_001,direct,wearing_context,NA,NA
TSR_AODAI_001,evidence_first,garment_components,1,1
TSR_AODAI_001,evidence_first,silhouette_and_proportion,2,2
TSR_AODAI_001,evidence_first,sewing_pattern_plausibility,NA,0
TSR_AODAI_001,evidence_first,material_and_drape,1,1
TSR_AODAI_001,evidence_first,motif_and_texture,1,1
TSR_AODAI_001,evidence_first,regional_period_consistency,NA,NA
TSR_AODAI_001,evidence_first,wearing_context,NA,NA
TSR_AODAI_001,counterclaim,garment_components,1,1
TSR_AODAI_001,counterclaim,silhouette_and_proportion,2,2
TSR_AODAI_001,counterclaim,sewing_pattern_plausibility,NA,0
TSR_AODAI_001,counterclaim,material_and_drape,1,1
TSR_AODAI_001,counterclaim,motif_and_texture,1,1
TSR_AODAI_001,counterclaim,regional_period_consistency,NA,NA
TSR_AODAI_001,counterclaim,wearing_context,NA,NA
TSR_AODAI_002,direct,garment_components,1,1
TSR_AODAI_002,direct,silhouette_and_proportion,2,2
TSR_AODAI_002,direct,sewing_pattern_plausibility,1,0
TSR_AODAI_002,direct,material_and_drape,2,1
TSR_AODAI_002,direct,motif_and_texture,1,1
TSR_AODAI_002,direct,regional_period_consistency,NA,NA
TSR_AODAI_002,direct,wearing_context,NA,NA
TSR_AODAI_002,evidence_first,garment_components,1,1
TSR_AODAI_002,evidence_first,silhouette_and_proportion,2,2
TSR_AODAI_002,evidence_first,sewing_pattern_plausibility,NA,0
TSR_AODAI_002,evidence_first,material_and_drape,2,1
TSR_AODAI_002,evidence_first,motif_and_texture,1,1
TSR_AODAI_002,evidence_first,regional_period_consistency,NA,NA
TSR_AODAI_002,evidence_first,wearing_context,NA,NA
TSR_AODAI_002,counterclaim,garment_components,1,1
TSR_AODAI_002,counterclaim,silhouette_and_proportion,2,2
TSR_AODAI_002,counterclaim,sewing_pattern_plausibility,NA,0
TSR_AODAI_002,counterclaim,material_and_drape,1,1
TSR_AODAI_002,counterclaim,motif_and_texture,NA,1
TSR_AODAI_002,counterclaim,regional_period_consistency,NA,NA
TSR_AODAI_002,counterclaim,wearing_context,NA,NA
